номер;дієслово;вид;перехідність;дієвідміна
1;замотуватися;N;P;1
2;замочитися;D;P;1
3;замочуватися;N;P;1
4;замощуватися;N;P;1
5;замружуватися;N;P;1
6;замутитися;D;P;1
7;замулюватися;N;P;1
8;замурзуватися;N;P;1
9;замуровуватися;N;P;1
10;замуруватися;D;P;1
11;замучитися;D;P;2
12;замучуватися;N;P;1
13;замшитися;D;P;2
14;занестися;D;P;1
15;заневиднітися;D;E;1
16;занедбуватися;N;P;1
17;занервуватися;D;P;1
18;занехаятися;D;P;2
19;занехаюватися;N;P;1
20;занижуватися;N;P;1
21;заникнутися;D;P;1
22;занотовуватися;N;P;1
23;заношуватися;N;P;1
24;занумеровуватися;N;P;1
25;занурятися;N;P;1
26;заокруглитися;D;P;1
27;заокруглюватися;N;P;1
28;заорюватися;N;P;1
29;заохочуватися;N;P;1
30;заощаджуватися;N;P;1
31;запертися;D;P;1
32;запакоститися;D;P;2
33;запаковуватися;N;P;1
34;запакуватися;D;P;1
35;запаленітися;D;E;1
36;запаморочитися;D;P;2
37;запаморочуватися;N;P;1
38;запам'ятовуватися;N;P;1
39;запарюватися;N;P;1
40;запаскудитися;D;P;1
41;запаскуджуватися;N;P;1
42;запаятися;D;P;1
43;запевнюватися;N;P;1
44;заперезатися;D;P;1
45;заперізуватися;N;P;1
46;запетлюватися;N;P;1
47;запечалитися;D;P;2
48;запечататися;D;P;1
49;запечатуватися;N;P;1
50;запиватися;N;P;1
51;запикатися;D;P;1
52;запикнутися;D;P;1
53;запикуватися;N;P;1
54;запинитися;D;P;2
55;запинятися;N;P;1
56;запитатися;D;P;1
57;запитуватися;N;P;1
58;запихатися;D;P;1
59;запишнитися;D;P;2
60;запізватися;D;P;1
61;запізнаватися;N;P;1
62;запухнатитися;D;P;2
63;затеплитися;D;P;1
64;згорбатитися;D;P;1
65;здутися;D;P;1
66;злоститися;N;P;2
67;зоставатися;N;P;1
68;індивідуалізувати;N;P;1
69;індичитися;N;E;2
70;лабузнитися;N;P;2
71;лесувати;N;P;1
72;лигати;N;P;1
73;ликати;N;P;1
74;лимонничати;N;E;1
75;лисичити;N;E;1
76;лібералізувати;D;P;1
77;ляпотіти;N;E;2
78;марчіти;N;P;1
79;млостити;N;P;2
80;нагризтися;D;P;1
81;надолужитися;D;P;1
82;накадити;D;P;2
83;накип'ятити;D;P;2
84;наколотися;D;P;1
85;намагатися;N;E;1
86;напоротися;D;P;2
87;напроситися;D;P;2
88;настоятися;D;P;2
89;наставати;N;P;1
90;настраждатися;D;E;1
91;недогодовувати;N;P;1
92;непритомніти;N;E;1
93;нервувати;N;E;1
94;нереститися;N;E;2
95;неславити;N;P;2
96;нестямитися;D;P;2
97;нетямитися;N;E;2
98;нехаяти;N;P;1
99;нехлюйствувати;N;P;1
100;нехтувати;N;E;1
