Номер;Дієслово;Вид;Перехідність;Дієвідміна
1;одпихати;N;P;1
2;одпливти;D;E;1
3;одплигувати;N;E;1
4;одплинути;D;E;1
5;одпліскувати;N;P;1
6;одпльовувати;N;P;1
7;одповзати;N;E;1
8;одповісти;D;P;2
9;одповідати;N;P;1
10;одполіровувати;N;P;1
11;одполірувати;D;P;1
12;одполіскувати;N;P;1
13;одполювати;N;P;1
14;одполювати;D;E;1
15;одправляти;N;P;1
16;одпрасовувати;N;P;1
17;одпрацювати;D;P;1
18;одпрацьовувати;N;P;1
19;одпровадити;D;P;2
20;одпроваджувати;N;P;1
21;одпродати;D;P;1
22;одпродувати;N;P;1
23;одпускати;N;P;1
24;одрадити;D;P;2
25;одраджувати;N;P;1
26;одрапортовувати;N;P;1
27;одрапортувати;D;P;1
28;одраховувати;N;P;1
29;одрахувати;D;P;1
30;одраювати;D;E;1
31;одрегулювати;D;P;1
32;одредагувати;D;P;1
33;одрекомендовувати;N;P;1
34;одрекомендувати;N;P;1
35;одремонтувати;D;P;1
36;одрепати;D;P;1
37;одривати;N;P;1
38;одпоювати;N;P;1
39;одригувати;N;P;1
40;одрізати;D;P;1
41;одрізати;N;P;1
42;одрізняти;N;P;1
43;одроджувати;N;P;1
44;одроювати;N;P;1
45;одрубати;D;P;1
46;одружити;D;P;2
47;одружитися;D;E;2
48;одружувати;N;P;1
49;одрядити;D;P;2
50;одрятовувати;N;P;1
51;одрятувати;D;P;1
52;одряхліти;D;E;1
53;одряхнути;D;E;1
54;одсадити;D;P;2
55;одсаджувати;N;P;1
56;одсалютувати;D;E;1
57;одсахнутися;D;E;1
58;одсвяткувати;D;P;1
59;одсидіти;D;E;2
60;одсиджувати;N;E;1
61;одсилати;N;P;1
62;одсисати;N;P;1
64;одслідковувати;N;P;1
65;одслідкувати;D;P;1
66;одслужувати;N;E;1
67;одсмоктувати;N;P;1
68;одсовувати;N;P;1
69;одсортовувати;N;P;1
70;одспівати;D;P;1
71;одспівувати;N;P;1
72;одставати;N;E;1
73;одстовбурчити;D;P;2
74;одстовбурчувати;N;P;1
75;одсторонювати;N;P;1
76;одстоювати;N;P;1
77;одстрашувати;N;P;1
78;одстрибати;D;E;1
79;одстрибувати;N;E;1
80;одстригати;N;P;1
81;одстрілювати;N;P;1
82;одстругувати;N;E;1
83;одстукати;D;E;1
84;одступити;D;E;2
85;одступати;N;E;1
86;одстьобати;D;P;1
87;одсудити;D;P;2
88;одсуджувати;N;P;1
89;одсукувати;N;P;1
90;одсьорбати;D;P;1
91;одсьорбнути;D;P;1
92;одсьорбувати;N;P;1
93;одтавати;N;E;1
94;одтанути;D;E;1
95;одтанцювати;D;E;1
96;одтанцьовувати;N;E;1
97;одтарахтарити;D;E;2
98;одтворювати;N;P;1
99;одтирати;N;P;1
100;одтискати;N;P;1
101;одтискати;D;P;1
102;одсіювати;N;P;1
