ІD;Дієслово;Вид (D\N);Перехідність\неперехідність (P\E);Дієвідміна
1;експлуатуватися;N;P;1
2;експонуватися;D;P;1
3;експонуватися;N;P;1
4;експортуватися;D;P;1
5;експортуватися;N;P;1
6;експропріюватися;D;P;1
7;експропріюватися;N;P;1
8;екстрагуватися;D;P;1
9;екстрагуватися;N;P;1
10;екстраполюватися;D;P;1
11;екстраполюватися;N;P;1
12;електризуватися;D;P;1
13;електризуватися;N;P;1
14;електрифікуватися;D;P;1
15;електрифікуватися;N;P;1
16;емалюватися;N;P;1
17;емансипуватися;D;P;1
18;емансипуватися;N;P;1
19;емульгуватися;D;P;1
20;емульгуватися;N;P;1
21;емульсуватися;D;P;1
22;емульсуватися;N;P;1
23;еродуватися;N;P;1
24;ескортуватися;N;P;1
25;ешелонуватися;D;P;1
26;ешелонуватися;N;P;1
27;жалитися;N;P;2
28;жалкуватися;N;P;1
29;жаритися;N;P;2
30;жаритися;N;E;2
31;жартуватися;N;P;1
32;жбурлятися;N;P;1
33;жбурлятися;N;E;1
34;жмакатися;N;P;1
35;жуватися;N;P;1
36;жужмитися;N;P;2
37;забагрянитися;D;P;2
38;забазікатися;D;P;1
39;забарвитися;D;P;2
40;забарвлюватися;N;P;1
41;забарикадуватися;D;P;1
42;забарюватися;N;P;1
43;забарюватися;D;E;1
44;забарятися;N;P;1
45;забачитися;D;P;2
46;забезпечитися;D;P;2
47;забейдатися;D;P;І
48;забиватися;N;P;1
49;забинтовуватися;N;P;1
50;забинтуватися;D;P;1
51;заб1гатися;D;P;І
52;забігAтися;N;E;І
53;забілитися;D;P;2
54;забілітися;D;E;1
55;забілюватися;N;P;1
56;заблукатися;D;E;1
57;заблюватися;D;P;1
58;заблюватися;D;E;1
59;забовтатися;D;P;1
60;забовтуватися;N;P;1
61;заболотитися;D;P;2
62;заболочуватися;N;P;1
63;заборгуватися;D;P;1
64;заборсатися;D;P;1
65;заборсуватися;N;P;1
66;забризкатися;D;P;1
67;забризкуватися;N;P;1
68;заброджуватися;N;P;1
69;забродитися;D;P;2
70;забрудитися;D;P;2
71;забруднюватися;N;P;1
72;забруковуватися;N;P;1
73;забрьохатися;D;P;1
74;забрьохуватися;N;P;1
75;забудовуватися;N;P;1
76;забудуватися;D;P;1
77;забунтуватися;D;E;1
78;завалюватися;N;P;1
79;завантажитися;D;P;2
80;завантажуватися;N;P;1
81;заваритися;D;P;2
82;заварюватися;N;P;1
83;завербовуватися;N;P;1
84;завербуватися;D;P;1
85;заверстуватися;N;P;1
86;завертатися;N;P;1
87;завертатися;N;E;1
88;завинутися;D;P;1
89;завихлятися;D;E;1
90;завіватися;N;E;1
91;завірятися;N;P;1
92;завойовуватися;N;P;1
93;заволікатися;N;P;1
94;заволіктися;D;P;1
95;заволожитися;D;P;2
96;заволожуватися;N;P;1
97;заволоктися;D;P;1
98;завчатися;N;P;1
99;завчитися;D;P;2
100;зав'язатися;D;P;1
101;загадатися;D;P;1
102;загадатися;D;E;1
103;загадуватися;N;P;1
104;загадуватися;N;E;1
105;загальмовуватися;N;P;1
106;загальмуватися;D;P;1
107;загамуватися;D;P;1
108;загатитися;D;P;2
109;загачуватися;N;P;1
110;загашатися;N;P;І
111;загашуватися;N;P;1
112;загаюватися;N;P;І
113;загвинтитися;D;P;2
114;загвинчуватися;N;P;1
115;загинатися;N;P;1
116;загинатися;N;E;1
117;загиритися;D;P;2
118;загіпнотизуватися;D;P;1
119;загладитися;D;P;2
